"Date","Start","Time Zone","ActivityCodes"
"5/10/16","8:43:42 AM","Eastern","Activity_a"
"5/10/16","8:56:01 AM","Eastern","Activity_b"
"5/10/16","8:57:26 AM","Eastern","Activity_c"
"5/10/16","8:59:39 AM","Eastern","Activity_d"
"5/10/16","11:24:50 AM","Eastern","Activity_e"
"5/10/16","11:26:09 AM","Eastern","Activity_b"
"5/10/16","11:26:47 AM","Eastern","Activity_f"
"5/10/16","11:26:47 AM","Eastern","Activity_g"
"5/10/16","11:26:47 AM","Eastern","Activity_h"
"5/10/16","11:28:28 AM","Eastern","Activity_i"
"5/10/16","11:28:28 AM","Eastern","Activity_j"
"5/10/16","11:30:31 AM","Eastern","Activity_k"
"5/10/16","11:31:24 AM","Eastern","Activity_i"
"5/10/16","11:31:24 AM","Eastern","Activity_h"
"5/10/16","11:32:18 AM","Eastern","Activity_g"
"5/10/16","11:33:48 AM","Eastern","Activity_g"
"5/10/16","11:35:36 AM","Eastern","Activity_i"
"5/10/16","11:37:34 AM","Eastern","Activity_g"
"5/10/16","11:39:49 AM","Eastern","Activity_l"
"5/10/16","11:40:00 AM","Eastern","Activity_m"
"5/10/16","11:40:00 AM","Eastern","Activity_n"
"5/10/16","11:40:00 AM","Eastern","Activity_o"
"5/10/16","11:40:34 AM","Eastern","Activity_i"
"5/10/16","11:42:20 AM","Eastern","Activity_n"
"5/10/16","11:42:20 AM","Eastern","Activity_g"
"5/10/16","11:43:11 AM","Eastern","Activity_i"
"5/10/16","11:43:44 AM","Eastern","Activity_g"
"5/10/16","11:45:03 AM","Eastern","Activity_m"
"5/10/16","11:45:43 AM","Eastern","Activity_n"
"5/10/16","11:45:43 AM","Eastern","Activity_g"
"5/10/16","11:46:30 AM","Eastern","Activity_p"
"5/10/16","11:47:17 AM","Eastern","Activity_m"
"5/10/16","11:47:17 AM","Eastern","Activity_i"
"5/10/16","11:49:19 AM","Eastern","Activity_g"
"5/10/16","11:49:46 AM","Eastern","Activity_g"
"5/10/16","11:50:22 AM","Eastern","Activity_i"
"5/10/16","11:52:29 AM","Eastern","Activity_m"
"5/10/16","11:53:02 AM","Eastern","Activity_m"
"5/10/16","11:53:49 AM","Eastern","Activity_i"
"5/10/16","11:56:19 AM","Eastern","Activity_o"
"5/10/16","11:57:12 AM","Eastern","Activity_n"
"5/10/16","11:58:23 AM","Eastern","Activity_i"
"5/10/16","11:59:04 AM","Eastern","Activity_n"
"5/10/16","12:00:21 PM","Eastern","Activity_q"
"5/10/16","12:01:00 PM","Eastern","Activity_o"
"5/10/16","12:01:00 PM","Eastern","Activity_i"
"5/10/16","12:02:13 PM","Eastern","Activity_r"
"5/10/16","12:02:13 PM","Eastern","Activity_o"
"5/10/16","12:02:44 PM","Eastern","Activity_m"
"5/10/16","12:03:36 PM","Eastern","Activity_s"
"5/10/16","12:05:16 PM","Eastern","Activity_m"
"5/10/16","12:06:07 PM","Eastern","Activity_s"
"5/10/16","12:06:36 PM","Eastern","Activity_i"
"5/10/16","12:07:13 PM","Eastern","Activity_s"
"5/10/16","12:08:38 PM","Eastern","Activity_m"
"5/10/16","12:10:45 PM","Eastern","Activity_t"
"5/10/16","12:19:05 PM","Eastern","Activity_s"
"5/10/16","12:20:05 PM","Eastern","Activity_m"
"5/10/16","12:22:42 PM","Eastern","Activity_s"
"5/10/16","12:24:20 PM","Eastern","Activity_s"
"5/10/16","12:24:20 PM","Eastern","Activity_m"
"5/10/16","12:27:00 PM","Eastern","Activity_m"
"5/10/16","12:28:11 PM","Eastern","Activity_s"
"5/10/16","12:30:05 PM","Eastern","Activity_u"
"5/10/16","12:31:58 PM","Eastern","Activity_m"
"5/10/16","12:34:07 PM","Eastern","Activity_i"
"5/10/16","12:35:48 PM","Eastern","Activity_s"
"5/10/16","12:35:48 PM","Eastern","Activity_m"
"5/10/16","12:44:22 PM","Eastern","Activity_v"
"5/10/16","1:13:35 PM","Eastern","Activity_a"
"5/10/16","1:24:32 PM","Eastern","Activity_b"
"5/10/16","1:25:41 PM","Eastern","Activity_c"
"5/10/16","1:30:30 PM","Eastern","Activity_d"
"5/10/16","4:08:04 PM","Eastern","Activity_e"
"5/10/16","4:08:37 PM","Eastern","Activity_b"
"5/10/16","4:08:37 PM","Eastern","Activity_f"
"5/10/16","4:08:37 PM","Eastern","Activity_h"
"5/10/16","4:10:14 PM","Eastern","Activity_i"
"5/10/16","4:16:01 PM","Eastern","Activity_j"
"5/10/16","4:16:01 PM","Eastern","Activity_g"
"5/10/16","4:16:01 PM","Eastern","Activity_g"
"5/10/16","4:17:39 PM","Eastern","Activity_o"
"5/10/16","4:18:31 PM","Eastern","Activity_g"
"5/10/16","4:20:24 PM","Eastern","Activity_h"
"5/10/16","4:20:24 PM","Eastern","Activity_i"
"5/10/16","4:21:46 PM","Eastern","Activity_m"
"5/10/16","4:23:18 PM","Eastern","Activity_g"
"5/10/16","4:24:53 PM","Eastern","Activity_l"
"5/10/16","4:24:53 PM","Eastern","Activity_g"
"5/10/16","4:25:52 PM","Eastern","Activity_f"
"5/10/16","4:32:00 PM","Eastern","Activity_m"
"5/10/16","4:36:04 PM","Eastern","Activity_m"
"5/10/16","4:40:08 PM","Eastern","Activity_n"
"5/10/16","4:40:00 PM","Eastern","Activity_g"
"5/10/16","4:42:39 PM","Eastern","Activity_m"
"5/10/16","4:49:53 PM","Eastern","Activity_g"
"5/10/16","5:09:51 PM","Eastern","Activity_q"
"5/10/16","5:11:00 PM","Eastern","Activity_r"
